,tweet,favourite_count,retweet_count,created_at
131,Yeah im getting an airtag for my wallet cause aint no way I lost this mf,0,0,2021-05-16 19:26:09
132,Today I 3D modelled and printed AirTag case for my backpack 🤓 #3Dprinting #AirTag #prusa https://t.co/h1MfzSt1Rh,0,0,2021-05-16 19:21:39
133,"New Apple AirTag for $29.99

https://t.co/jPxlgE4S5B  

𝑴𝒖𝒔𝒕 𝑯𝒂𝒗𝒆 𝒕𝒐 𝑯𝒆𝒍𝒑 𝑻𝒓𝒂𝒄𝒌 𝒀𝒐𝒖𝒓 𝑫𝒆𝒗𝒊𝒄𝒆𝒔 𝑨𝒍𝒍 𝒊𝒏 𝑻𝒉𝒆 𝑨𝒑𝒑𝒍𝒆 𝑭𝒊𝒏𝒅 𝑴𝒚 𝑵𝒆𝒕𝒘𝒐𝒓𝒌 𝑨𝒑𝒑

#Apple #AirTags #Deals #Amazon https://t.co/UFVlquxwwl",0,0,2021-05-16 19:17:00
134,I’m buying the Apple AirTag for my dog.,3,0,2021-05-16 19:10:37
135,bookofjoe: Sending an Apple AirTag by mail to myself in the Netherlands. How well does the AirTag work outside? https://t.co/n879jT9DTN,0,0,2021-05-16 19:10:01
136,Chipolo ONE Spot With Keyring Hole Offers Cheaper AirTag Alternative #AppleNews https://t.co/oemt9SPfOT https://t.co/da90Rcg2Ro,1,1,2021-05-16 19:10:00
137,"Best AirTag accessories 2021: Key chains, straps, and mounts  https://t.co/nq46EEE9mx ZDNet",0,1,2021-05-16 19:01:42
138,"AirTag jailbreak -&gt; so quickly after release ;) 
https://t.co/sYrQV5Elfy",0,0,2021-05-16 19:00:15
139,"Best AirTag accessories 2021: Key chains, straps, and mounts  https://t.co/feK4A7DEh7",2,1,2021-05-16 19:00:10
140,Apple Airtag unboxing / review |GB| https://t.co/touxL1ROxB https://t.co/M7cJ43wQKf,0,0,2021-05-16 18:46:40
141,"Apple Airtag unboxing / review |GB| 

https://t.co/touxL1ROxB https://t.co/E3OehBFg1c",0,0,2021-05-16 18:44:58
142,"If you lose your keys, the remote, and other things on a regular basis, you need to check this out. 👇
#technology #apple 
https://t.co/lr1hy85SVU",1,1,2021-05-16 18:41:00
143,I have an AirTag problem,0,0,2021-05-16 18:39:24
144,Finna purchase an Apple Airtag 😌😌,0,0,2021-05-16 18:38:56
145,Why are all the Airtag keychains so fucking huge.,0,0,2021-05-16 18:36:29
146,@continentalshlf gonna airtag my shit,2,0,2021-05-16 18:36:06
147,"Just Released! AirTagLocator App in the Google Play Store https://t.co/h6UGAAPguR Discouraging #AirTag Stalking by giving #Android users the ability to detect AirTags around them. Be safe out there, folks! @Xamarin",9,1,2021-05-16 18:33:23
148,@ridgewallet I did few years ago. You should machine a hole under the money clip to hide a Airtag under the money band. I definitely would by a second wallet.,0,0,2021-05-16 18:31:21
149,@Apple next product: Apple pen airtag please.,0,0,2021-05-16 18:28:35
150,Are 4 letter dog names going to be the new standard because it’s the most that fit on an AirTag? https://t.co/Y2xAxoF6PG,2,0,2021-05-16 18:27:07
151,Put an #AirTag in her pocket. https://t.co/TDMf2vNMWt,1,1,2021-05-16 18:25:37
152,The Hidden Cost Of Apple's AirTag Tracker | Screen Rant https://t.co/baMAbbRjJq https://t.co/RqqFclpDZt,0,0,2021-05-16 18:22:32
153,"Making sure I know where my coffee is all the time.

#Apple #AirTag #Coffee #tech #photooftheday #coffeelovers https://t.co/1Ey1nbIplq",0,0,2021-05-16 18:12:06
154,"@Apple’s AirTag is great for home usage, but for millions of assets in your business you need another solution. Here’s one: https://t.co/vuDGVwCRaI #AssetTracking",0,0,2021-05-16 18:07:09
155,"@GyanTherapy @YouTube Bro, in your video airtag showed distance at 7 m, but in MKBHD's video, airtag showed distance of 24ft.
How's this possible? https://t.co/DXAHbzE4JU",0,0,2021-05-16 18:05:00
156,iOS 14.6 lets you use an email address to put AirTag and other items into Lost Mode https://t.co/kfTKB9AsJQ https://t.co/HjtyLvg1Hd,0,0,2021-05-16 18:00:11
157,@emkwan Can i get one Airtag from u my brother,0,0,2021-05-16 17:55:56
158,"@Apple's #AirTag - a Bluetooth-enabled gadget to help users find and secure their essentials like keys, wallets, and luggage may be at risk of #cyber hack. #cybersecurity #ciso https://t.co/nc0W9OMt1o https://t.co/u32b6qU4GO",1,1,2021-05-16 17:54:03
159,With 75% of people buying an AirTag Apple looks like it's onto a winner https://t.co/RtSpaAj0zO https://t.co/RaAX3BTAtd,0,0,2021-05-16 17:42:06
160,With 75% of people buying an AirTag Apple looks like it's onto a winner https://t.co/YWFRk1pbIM https://t.co/9Cwq8ojtFh,0,0,2021-05-16 17:42:05
161,"Hey @Fossil please make a wallet with a built in secure #Airtag compartment, post haste. Also a little “slide your ID out” cut out in the ID part would be cool too.",0,0,2021-05-16 17:40:54
162,Apple AirTAG - Best But WORST For me !  #gyantherapy https://t.co/nbrpd8lULh via @YouTube,198,6,2021-05-16 17:33:37
163,"Quite happy with @Apple #AirTag technology so far. Besides sharing them with family members, I also installed it on things I take with me daily. Well I own an e-scooter but named it “Milot’s Bike” due to setup wizard suggestion and a nice-looking bike icon 🙃 https://t.co/q7RUU10i4l",4,0,2021-05-16 17:32:21
164,"@jgordonshare It would alert them if they took the bike and tag ""home"" or to a frequently-visited location.

And the tag would make a sound after three days of being separated from its owner's phone.

So...maybe.

https://t.co/C5dpcrHsth",1,0,2021-05-16 17:31:30
165,"Auyuiiy Protective Case for Airtag 2021, 2 Pack Silicone Tracker Holder with Key Chain Portable Protector Cover for Airtag Easy Attach to Keys, Backpacks, Liner Bags(Nightglow Green) https://t.co/5d6PmoR8TM",0,0,2021-05-16 17:18:11
166,Apple’s AirTag offers convenience but poses serious threats — and it’s not alone https://t.co/uxB2mblB97,0,0,2021-05-16 17:06:58
167,"@hhf In that first AirTag tracking video from The Netherlands, the guy does *describe* how he hacked it together with Automator and AppleScript.",2,0,2021-05-16 17:04:45
168,"@mrjamesob hi, great stuff with the AirTag tracking! Did you by chance publish the script somewhere? Thanks!",0,0,2021-05-16 16:56:41
169,"Pre-Order: #New  #Apple AirTag 4 Pack for $99 via #Amazon 

=&gt;  #Deal

 https://t.co/eOBULs1qeJ https://t.co/sb0Sf7l57q",0,0,2021-05-16 16:55:05
170,"Pre-Order: New Apple AirTag 4 Pack for $99 via Amazon

=&gt; https://t.co/e9EzzNC7Cs https://t.co/WerdhphOyH",2,0,2021-05-16 16:55:00
171,AirTag? 🤔,0,0,2021-05-16 16:54:44
172,@QuuxBerlin Airtag,0,0,2021-05-16 16:52:34
173,AirTag feature request: use a bar chart during precision finding to indicate distance so that little kids can more easily play ‘find the thimble’ with it.,15,1,2021-05-16 16:51:50
174,"@dealztrendz I don't know what's an AirTag is. Thank You @dealztrendz . I learnt a new thing today because of you. I understood the uses of an AirTag now. It's an amazing invention. 👇

https://t.co/Pvw345yYqu.",1,0,2021-05-16 16:49:57
175,"@onlytruejames Oh, the pfp changed. Credit to @AirTag_ for making it.",1,0,2021-05-16 16:47:25
176,Dumped the AirTag firmware by glitching the debug protection using a cheap STM32 and a JTAG probe. My code is on GitHub: https://t.co/OWIcdFdq3e Thanks to @colinoflynn for the pinout and @ghidraninja for the inspiration and great video!,292,61,2021-05-16 16:42:38
177,"New Apple AirTag (Pack of 4)

at Rs.10,900

🌟Extra Rs.1000 Off with SBI Credit Card

Link: https://t.co/dUCHaLNYOM https://t.co/LjA74g69gu",2,0,2021-05-16 16:41:50
178,@SnazzyQ Such a missed opportunity that it doesn't have an airtag build in though,16,0,2021-05-16 16:38:15
179,"New #Apple AirTag 4 Pack for ₹10,900 

Extra ₹1,090 Instant Discount with SBI Bank Credit Card EMI transactions

https://t.co/c8p2tDiLIO",2,2,2021-05-16 16:30:10
